NomeDistri,media
Pari,3.2123263362316368
Jardim Helena,3.4088021441293135
Bras,3.615422530117322
Bom Retiro,7.395690535576922
Itaim Bibi,7.429584607324993
Barra Funda,8.855359392263244
Moema,9.737458297880243
Jacana,9.849600915990095
Marsilac,10.80598124971678
Republica,11.045687071484208
Belem,12.186797207768903
Parelheiros,13.419533161818531
Vila Leopoldina,13.859419029011626
Grajau,14.336972205928626
Santa Cecilia,15.378492000689784
Cidade Dutra,15.642645056488766
Sao Domingos,16.29121674366106
Mooca,16.329822672121857
Itaquera,16.508474780758032
Vila Prudente,16.548591183402433
Sao Lucas,16.564979146753707
Jaguara,16.566638891497554
Limao,16.802893747797917
Vila Formosa,16.818512107450168
Aricanduva,16.980096362112477
Tatuape,16.981334773911637
Sacoma,17.0168179816018
Agua Rasa,17.02084612604202
Saude,17.028161984540773
Campo Belo,17.057282138455545
Vila Jacui,17.07054477131227
Socorro,17.175103375959825
Tucuruvi,17.25610373267908
Ponte Rasa,17.282783512987717
Ipiranga,17.433044236203127
Ermelino Matarazzo,17.435592890026104
Carrao,17.510757971511325
Vila Maria,17.613835773118378
Jabaquara,17.670325134781148
Cursino,17.776632656523148
Santo Amaro,17.795117672335515
Jaguare,17.823159817328527
Artur Alvim,17.8302700127156
Vila Matilde,17.83201125791705
Capao Redondo,18.007257436947455
Sao Miguel,18.08782858515974
Itaim Paulista,18.294814460577975
Campo Limpo,18.40867167558506
Cangaiba,18.701619733172727
Se,18.745927820849985
Rio Pequeno,18.79848093399201
Penha,18.807507651323085
Raposo Tavares,19.03349199637004
Vila Sonia,19.275146329667635
Jose Bonifacio,19.394219882498863
Cidade Ademar,19.453390520090714
Casa Verde,19.87927094560025
Freguesia do O,19.925149047348725
Parque do Carmo,20.17895679665942
Cachoeirinha,20.225436587455206
Jardim Sao Luis,20.321495467481526
Vila Medeiros,20.530079042554874
Vila Curuca,20.53792229878854
Liberdade,20.555002946747233
Vila Guilherme,20.92306821813657
Guaianases,20.929332957612903
Campo Grande,21.050999425936205
Morumbi,21.109145566324063
Cambuci,21.17905526229978
Lajeado,21.607583106845755
Butanta,21.86053529994986
Lapa,21.905695686324126
Pedreira,22.028585683964234
Jardim Angela,22.520406971427654
Vila Mariana,22.879977911605806
Sapopemba,23.084023980115095
Sao Mateus,23.103841644795473
Pinheiros,23.89714956152352
Santana,23.921020943460633
Consolacao,23.99026765972585
Sao Rafael,24.172738646825476
Bela Vista,24.483811165891165
Perdizes,24.634924690994993
Alto de Pinheiros,24.767217584790227
Mandaqui,24.94494347057549
Perus,25.52565987805598
Cidade Lider,26.06515350068902
Vila Andrade,26.90161409803155
Pirituba,27.025919086481544
Iguatemi,27.66109956054417
Cidade Tiradentes,28.557265438933083
Tremembe,29.629461090931134
Anhanguera,30.655250085749625
Jardim Paulista,30.96507841687889
Jaragua,31.313183956198223
Brasilandia,33.3091575515386
